ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match,LLM__lex_few_shot_base__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_base__openai_gpt-5.4-mini_error,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_base__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,LLM__lex_few_shot_base__openai_gpt-oss-20b_error,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_error,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_precision__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,LLM__lex_few_shot_precision__openai_gpt-oss-20b_error
4019072184.jpg#4r1e,snli,dev,A man is rock climbing with protective rope.,A man is being secured.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,"answer: non-entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(rock climbing with protective rope, be secured) }","isa_wn(rock climbing with protective rope, be secured)",,"answer: entailment
relations: { entails(rock climb, be secure) }","isa_wn(rock climb, be secure)",,"answer: entailment  
relations: { entails(protective rope, secured) }","isa_wn(protective rope, secured)",,"answer: entailment
relations: { entails(protective rope, secured) }","isa_wn(protective rope, secured)",,"answer: non-entailment

explanation: While the premise mentions a man rock climbing with protective rope, this does not necessarily entail that the man is being secured. The presence of rope does not guarantee that the man is actually secured by it—the rope could be present but not properly attached, used, or functional. Being secured requires an active state of safety, which cannot be inferred merely from the presence of protective equipment. The hypothesis makes a claim about the man's actual security status that goes beyond what the premise establishes.

relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(rock climb with protective rope, be secure) }","isa_wn(rock climb with protective rope, be secure)",,"answer: entailment
relations: { }",NO_RELATION,
4066,sick,dev,The man is hurling knives at a tree,The man is throwing knives at a tree,entailment,2,TRUE,,"(hurl, throw)","(hurl, throw)",,"(hurl, throw)",TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(hurl, throw) }","isa_wn(hurl, throw)",,"answer: entailment
relations: { entails(hurl, throw) }","isa_wn(hurl, throw)",,"answer: entailment
relations: { entails(hurl, throw) }","isa_wn(hurl, throw)",,"answer: entailment  
relations: { entails(hurl, throw) }","isa_wn(hurl, throw)",,"answer: entailment
relations: { entails(hurl, throw) }","isa_wn(hurl, throw)",,"answer: entailment
relations: { entails(hurl, throw) }","isa_wn(hurl, throw)",,"answer: entailment
relations: { entails(hurl, throw) }","isa_wn(hurl, throw)",,"answer: entailment  
relations: { entails(hurl, throw) }","isa_wn(hurl, throw)",
4183662919.jpg#3r1e,snli,test,A child plays with her father's boots.,A child is playing.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""A child is playing"" is a direct simplification of the premise ""A child plays with her father's boots."" The premise explicitly states that a child plays, which directly entails that a child is playing. No lexical entailment relations are needed since the entailment follows directly from the semantic content without requiring non-trivial lexical mappings. The hypothesis simply removes the additional modifier ""with her father's boots"" but retains the core predicate and subject.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical relations. The premise states that ""a child plays with her father's boots,"" which directly entails that ""a child is playing."" The only difference is the verb form (plays vs. is playing), which is a grammatical variation of the same action, not a lexical entailment relation that needs to be explicitly stated.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
4291704682.jpg#3r1e,snli,train,There are two people sweeping a sidewalk in this picture.,There are a couple of people cleaning the path.,entailment,2,TRUE,,"(sidewalk, path); (sweep, clean); (two, couple)",,"(sidewalk, path); (sweep, clean); (two, couple)","(sidewalk, path); (sweep, clean); (two, couple)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(sweep, clean), entails(sidewalk, path), entails(two, couple) }","isa_wn(sweep, clean); isa_wn(sidewalk, path); isa_wn(two, couple)",,"answer: entailment
relations: { entails(sweep, clean), entails(sidewalk, path), entails(two, couple) }","isa_wn(sweep, clean); isa_wn(sidewalk, path); isa_wn(two, couple)",,"answer: entailment
relations: { entails(sweep, clean), entails(sidewalk, path) }","isa_wn(sweep, clean); isa_wn(sidewalk, path)",,"answer: entailment  
relations: { entails(two people, couple people), entails(sweeping, cleaning), entails(sidewalk, path) }","isa_wn(two people, couple people); isa_wn(sweeping, cleaning); isa_wn(sidewalk, path)",,"answer: entailment
relations: { entails(sweeping, cleaning), entails(sidewalk, path) }","isa_wn(sweeping, cleaning); isa_wn(sidewalk, path)",,"answer: entailment
relations: { entails(sweep, clean), entails(sidewalk, path) }","isa_wn(sweep, clean); isa_wn(sidewalk, path)",,"answer: entailment
relations: { entails(sweep, clean), entails(sidewalk, path) }","isa_wn(sweep, clean); isa_wn(sidewalk, path)",,"answer: entailment  
relations: { entails(sweeping, cleaning), entails(sidewalk, path) }","isa_wn(sweeping, cleaning); isa_wn(sidewalk, path)",
4355004642.jpg#0r1e,snli,train,"A chef and his newest creation in process, being made in an old fashioned oven.",A chef creates.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(being made, create) }","isa_wn(being made, create)",,"answer: entailment
relations: { entails(creation in process being made, create) }","isa_wn(creation in process being made, create)",,"answer: entailment
relations: { entails(make, create) }","isa_wn(make, create)",,"answer: entailment  
relations: { entails(make, create) }","isa_wn(make, create)",,"answer: entailment
relations: { entails(newest creation in process, create) }","isa_wn(newest creation in process, create)",,"answer: entailment
relations: { entails(creation in process being made, create) }","isa_wn(creation in process being made, create)",,"answer: entailment
relations: { entails(create, create) }","isa_wn(create, create)",,"answer: entailment
relations: { entails(make, create) }","isa_wn(make, create)",
4486280757.jpg#0r1e,snli,dev,A man in a black wetsuit with white shorts is windsurfing on a blue body of water with mountains in the background.,The man is near the water.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(windsurf, be near water) }","isa_wn(windsurf, be near water)",,"answer: entailment
relations: { entails(windsurfing, near water) }

explanation: The premise states that a man is windsurfing on a body of water. Windsurfing necessarily involves being on or in the water, which entails being near the water. Therefore, the hypothesis that ""the man is near the water"" must be true if the premise is true.","isa_wn(windsurfing, near water)",,"answer: entailment
relations: { entails(windsurf, be near water) }","isa_wn(windsurf, be near water)",,"answer: entailment  
relations: { entails(windsurfing, water) }","isa_wn(windsurfing, water)",,"answer: non-entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(windsurf, near water) }","isa_wn(windsurf, near water)",,"answer: entailment
relations: { entails(windsurf, near water) }","isa_wn(windsurf, near water)",,"answer: entailment  
relations: { }",NO_RELATION,
4494,sick,test,A girl is combing her hair,A girl is styling her hair,entailment,2,TRUE,,"(comb, style)","(comb, style)","(comb, style)",,TRUE,TRUE,,TRUE,,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(comb, style) }

explanation: Combing hair is a form of styling hair. When someone combs their hair, they are engaging in a hair styling activity. The lexical entailment relation captures this semantic connection between the two verbs.","isa_wn(comb, style)",,"answer: entailment
relations: { entails(comb, style) }","isa_wn(comb, style)",,"**answer:** entailment

**relations:** { entails(comb, style) }","isa_wn(comb, style)",,"answer: entailment
relations: { entails(combing hair, styling hair) }","isa_wn(combing hair, styling hair)",,"answer: entailment
relations: { entails(comb, style) }","isa_wn(comb, style)",,"answer: entailment
relations: { entails(comb, style) }","isa_wn(comb, style)",,"answer: entailment  
relations: { entails(combing, styling) }","isa_wn(combing, styling)",
4501954896.jpg#2r1e,snli,test,Man jumping up in the air and splitting his legs with his mouth open.,A man is jumping.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(jumping up in the air, jump) }","isa_wn(jumping up in the air, jump)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""A man is jumping"" is directly entailed by the premise ""Man jumping up in the air and splitting his legs with his mouth open."" The premise explicitly states that a man is jumping, so the hypothesis follows without requiring any non-trivial lexical entailment relations. The additional details in the premise (splitting legs, mouth open) do not affect the core entailment that a man is jumping.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
4569102627.jpg#2r1e,snli,test,Little girl with very curly hair drinking her cup of juice.,A girl is ingesting liquid.,entailment,2,TRUE,,"(drink, ingest); (juice, liquid)",,"(drink, ingest); (juice, liquid)","(drink, ingest); (juice, liquid)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(drink, ingest), entails(juice, liquid), entails(little girl, girl) }","isa_wn(drink, ingest); isa_wn(juice, liquid); isa_wn(little girl, girl)",,"answer: entailment
relations: { entails(little girl, girl), entails(juice, liquid), entails(drink, ingest) }","isa_wn(little girl, girl); isa_wn(juice, liquid); isa_wn(drink, ingest)",,"answer: entailment
relations: { entails(little girl, girl), entails(drink, ingest), entails(cup of juice, liquid) }","isa_wn(little girl, girl); isa_wn(drink, ingest); isa_wn(cup of juice, liquid)",,"answer: entailment
relations: { entails(little girl, girl), entails(drinking, ingesting), entails(juice, liquid) }","isa_wn(little girl, girl); isa_wn(drinking, ingesting); isa_wn(juice, liquid)",,"answer: entailment
relations: { entails(drink, ingest), entails(cup of juice, liquid) }","isa_wn(drink, ingest); isa_wn(cup of juice, liquid)",,"answer: entailment
relations: { entails(juice, liquid), entails(drink, ingest) }","isa_wn(juice, liquid); isa_wn(drink, ingest)",,"answer: entailment
relations: { entails(drink, ingest liquid) }","isa_wn(drink, ingest liquid)",,"answer: entailment  
relations: { entails(little girl, girl), entails(drink, ingest), entails(juice, liquid) }","isa_wn(little girl, girl); isa_wn(drink, ingest); isa_wn(juice, liquid)",
4603247500.jpg#0r1e,snli,dev,A man in a white shirt is standing in a T-shirt booth.,A man standing in a booth.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(T-shirt booth, booth) }","isa_wn(T-shirt booth, booth)",,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical entailment relations. The premise states ""A man in a white shirt is standing in a T-shirt booth,"" which directly contains all the essential information needed for the hypothesis ""A man standing in a booth."" The hypothesis simply removes modifiers (""in a white shirt"" and ""T-shirt"") from the premise while retaining the core proposition. This is a straightforward case of entailment through specification-to-generalization, not requiring lexical relations.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(t shirt booth, booth) }","isa_wn(t shirt booth, booth)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical entailment relations. The premise states that ""a man in a white shirt is standing in a T-shirt booth,"" which directly entails that ""a man standing in a booth"" by simply removing the specific descriptive details (the color of the shirt and the type of booth). No lexical bridging is needed because both sentences refer to the same core event with the hypothesis being a less specific version of the premise.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(T-shirt booth, booth) }","isa_wn(T-shirt booth, booth)",
461139075.jpg#2r1e,snli,dev,A lady is standing up holing a lamp that is turned on.,A lady is holding a lit lamp.,entailment,2,TRUE,,"(turned on, lit)",,"(turned on, lit)","(turned on, lit)",,TRUE,FALSE,,,FALSE,"answer: entailment
relations: { entails(holing, holding), entails(turned on, lit) }","isa_wn(holing, holding); isa_wn(turned on, lit)",,"answer: entailment
relations: { entails(turn on, lit) }","isa_wn(turn on, lit)",,"answer: entailment
relations: { entails(turn on, light) }","isa_wn(turn on, light)",,"answer: entailment
relations: { entails(turn on, lit) }","isa_wn(turn on, lit)",,"answer: entailment  
relations: { entails(holing, holding), entails(turned on, lit) }","isa_wn(holing, holding); isa_wn(turned on, lit)",,"answer: entailment
relations: { entails(turned on, lit) }","isa_wn(turned on, lit)",,"answer: entailment
relations: { entails(lamp that is turned on, lit lamp) }","isa_wn(lamp that is turned on, lit lamp)",,"answer: entailment
relations: { entails(turn on, lit) }","isa_wn(turn on, lit)",
4640148862.jpg#2r1e,snli,dev,A woman carrying a shopping bag in front of Fisher's Popcorn.,a woman is shopping by fisher's popcorn,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(carry, shop), entails(shopping bag, shop) }","isa_wn(carry, shop); isa_wn(shopping bag, shop)",,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment

relations: { entails(carrying shopping bag, shopping) }","isa_wn(carrying shopping bag, shopping)",,answer: non-entailment,NO_RELATION,,"answer: non-entailment
relations: { }",NO_RELATION,
4648416380.jpg#0r1e,snli,dev,"Many people are listening to a concert, and TV crew is recording the audience reaction.",People are listening to a concert.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""People are listening to a concert"" is directly stated in the premise ""Many people are listening to a concert, and TV crew is recording the audience reaction."" The first clause of the premise explicitly asserts that people are listening to a concert. No lexical entailment relations are needed to explain this entailment, as the hypothesis is a straightforward simplification of part of the premise (removing the quantifier ""many"" and the conjunct about the TV crew, both of which preserve the truth of the core claim).",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis follows directly from the premise without requiring any non-trivial lexical entailment relations. The premise states ""Many people are listening to a concert,"" and the hypothesis states ""People are listening to a concert."" The hypothesis is a direct logical consequence of the premise—if many people are listening to a concert, then people are listening to a concert. No lexical bridge is needed to explain this entailment.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,
4661,sick,dev,A woman is slicing a potato,A woman is cutting a potato,entailment,3,TRUE,,,"(slice, cut)","(slice, cut)","(slice, cut)",,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(slice, cut) }","isa_wn(slice, cut)",,"answer: entailment
relations: { entails(slice, cut) }","isa_wn(slice, cut)",,"answer: entailment
relations: { entails(slice, cut) }","isa_wn(slice, cut)",,"answer: entailment  
relations: { entails(slice, cut) }","isa_wn(slice, cut)",,"answer: entailment
relations: { entails(slice, cut) }","isa_wn(slice, cut)",,"answer: entailment
relations: { entails(slice, cut) }","isa_wn(slice, cut)",,"answer: entailment
relations: { entails(slice, cut) }","isa_wn(slice, cut)",,"answer: entailment
relations: { entails(slice, cut) }","isa_wn(slice, cut)",
4718146904.jpg#2r1e,snli,dev,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is a simplified version of the premise that removes additional contextual details (""during a world exhibition event held in the city of Angeles""). The core proposition remains the same: a man is selling donuts to a customer. All the essential semantic content of the hypothesis is preserved in the premise, so the entailment holds without requiring any non-trivial lexical relations.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical relations. The premise describes a specific scenario where a man is selling donuts to a customer at a world exhibition event in Angeles. The hypothesis simply asserts that a man is selling donuts to a customer, which is a direct subset of the information provided in the premise. All the additional details in the premise (the world exhibition event, the location) are simply contextual elaborations that do not affect the truth of the core assertion in the hypothesis. Therefore, the entailment follows purely from logical structure and does not require any lexical bridging.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,
4729746211.jpg#1r1e,snli,dev,A man in a hat is working with golden colored flowers.,"A man in a hat is working with flowers,",entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical relations. The premise states ""A man in a hat is working with golden colored flowers,"" and the hypothesis states ""A man in a hat is working with flowers."" The hypothesis simply removes the modifier ""golden colored"" from ""flowers,"" but this is a case of logical entailment rather than lexical entailment. If someone is working with golden colored flowers, then they are necessarily working with flowers (the color is just an additional specification). No lexical entailment relations are needed to explain this entailment since it follows directly from the structure of the sentences.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { entails(golden flower, flower) }","isa_wn(golden flower, flower)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical entailment relations. The premise states that a man in a hat is working with golden colored flowers, which necessarily means he is working with flowers. The additional modifier ""golden colored"" in the premise does not prevent the entailment—working with golden colored flowers is a specific case of working with flowers. No lexical bridge is needed to establish this entailment.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(golden colored flowers, flowers) }","isa_wn(golden colored flowers, flowers)",
4734,sick,dev,A man is fitting a silencer to a pistol,A man is applying a silencer to a gun,entailment,2,TRUE,,"(fit, apply); (pistol, gun)","(fit, apply); (pistol, gun)","(fit, apply); (pistol, gun)",,FALSE,TRUE,,FALSE,,,"answer: entailment  
relations: { entails(pistol, gun), entails(fit, apply) }","isa_wn(pistol, gun); isa_wn(fit, apply)",,"answer: entailment
relations: { entails(fit, apply), entails(silencer, silencer), entails(pistol, gun) }

Actually, let me reconsider. The relation entails(silencer, silencer) is trivial and should not be included.

answer: entailment
relations: { entails(fit, apply), entails(pistol, gun) }","isa_wn(fit, apply); isa_wn(silencer, silencer); isa_wn(pistol, gun); isa_wn(silencer, silencer); isa_wn(fit, apply); isa_wn(pistol, gun)",,"answer: entailment
relations: { entails(pistol, gun) }","isa_wn(pistol, gun)",,"answer: entailment  
relations: { entails(fitting, applying), entails(pistol, gun) }","isa_wn(fitting, applying); isa_wn(pistol, gun)",,"answer: entailment
relations: { entails(pistol, gun), entails(fit, apply) }","isa_wn(pistol, gun); isa_wn(fit, apply)",,"answer: entailment
relations: { entails(pistol, gun), entails(fit, apply) }","isa_wn(pistol, gun); isa_wn(fit, apply)",,"answer: entailment
relations: { entails(pistol, gun) }","isa_wn(pistol, gun)",,"answer: entailment  
relations: { entails(pistol, gun), entails(fitting, applying) }","isa_wn(pistol, gun); isa_wn(fitting, applying)",
4740975956.jpg#4r1e,snli,dev,Tall man being stopped by an officer.,There is a tall man.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The premise states that a tall man is being stopped by an officer. This directly entails that there exists a tall man, as the premise asserts the existence and description of this individual. No non-trivial lexical entailment relations are needed to explain this inference—it follows directly from the logical structure of the sentences.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis ""There is a tall man"" is directly entailed by the premise ""Tall man being stopped by an officer."" The premise asserts the existence of a tall man (as the subject of the described action), which directly supports the hypothesis. No non-trivial lexical entailment relations are needed to explain this entailment, as it follows from the logical structure and explicit content of the sentences.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
4803960387.jpg#0r1e,snli,dev,A man wearing a white and blue shirt cooking corn on the cob while a different man buys a piece of corn.,A man is holding to some vegetables near another man.,entailment,3,TRUE,,,"(corn, vegetable)","(corn, vegetable)","(corn, vegetable)",,,,TRUE,TRUE,TRUE,answer: non-entailment,NO_RELATION,,"answer: entailment

relations: { entails(corn on the cob, vegetable), entails(cooking, hold), entails(buy, near) }","isa_wn(corn on the cob, vegetable); isa_wn(cooking, hold); isa_wn(buy, near)",,"answer: entailment
relations: { entails(corn, vegetable) }","isa_wn(corn, vegetable)",,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment

relations: { entails(corn, vegetable), entails(cooking, holding) }","isa_wn(corn, vegetable); isa_wn(cooking, holding)",,"answer: entailment
relations: { entails(corn, vegetable), entails(cook, hold) }","isa_wn(corn, vegetable); isa_wn(cook, hold)",,"answer: entailment  
relations: { entails(corn, vegetable) }","isa_wn(corn, vegetable)",
4813609768.jpg#3r1e,snli,dev,A woman in a blue shirt stands with her hands on her hips.,The woman in the blue shirt is touching herself.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE,"answer: entailment
relations: { entails(hands on hips, touching herself) }","isa_wn(hands on hips, touching herself)",,"answer: entailment
relations: { entails(hand on hip, touch) }","isa_wn(hand on hip, touch)",,"answer: entailment
relations: { entails(stand with hands on hip, touch self) }","isa_wn(stand with hands on hip, touch self)",,"**answer:** entailment  
**relations:** { }",NO_RELATION,,"answer: entailment
relations: { entails(hands on hips, touching herself) }","isa_wn(hands on hips, touching herself)",,"answer: entailment

relations: { entails(hand on hip, touch oneself) }","isa_wn(hand on hip, touch oneself)",,"answer: entailment
relations: { entails(stand with hands on hip, touch oneself) }","isa_wn(stand with hands on hip, touch oneself)",,"answer: entailment  
relations: { entails(touching hips, touching herself) }","isa_wn(touching hips, touching herself)",
4876043682.jpg#2r1e,snli,dev,A boy rides on a camel in a crowded area while talking on his cellphone.,A boy is riding an animal.,entailment,2,TRUE,,"(camel, animal)","(camel, animal)","(camel, animal)",,TRUE,TRUE,,TRUE,,,"answer: entailment  
relations: { entails(camel, animal) }","isa_wn(camel, animal)",,"answer: entailment

relations: { entails(camel, animal) }","isa_wn(camel, animal)",,"answer: entailment
relations: { entails(camel, animal) }","isa_wn(camel, animal)",,"answer: entailment
relations: { entails(camel, animal) }","isa_wn(camel, animal)",,"answer: entailment
relations: { entails(camel, animal), entails(ride on, ride) }","isa_wn(camel, animal); isa_wn(ride on, ride)",,"answer: entailment
relations: { entails(camel, animal) }","isa_wn(camel, animal)",,"answer: entailment
relations: { entails(camel, animal) }","isa_wn(camel, animal)",,"answer: entailment  
relations: { entails(camel, animal) }","isa_wn(camel, animal)",
4894267064.jpg#3r1e,snli,dev,2 woman walking down the street next to graffiti,The woman are by grafitti.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment  
relations: { entails(walking down the street next to, by) }","isa_wn(walking down the street next to, by)",,"answer: entailment
relations: { entails(walking down the street, by), entails(graffiti, graffiti) }

Wait, let me reconsider this more carefully.

The premise states: ""2 woman walking down the street next to graffiti""
The hypothesis states: ""The woman are by graffiti""

Breaking down the key elements:
- ""2 woman"" in the premise corresponds to ""woman"" in the hypothesis (plural)
- ""walking down the street next to graffiti"" in the premise means they are positioned next to graffiti
- ""by graffiti"" in the hypothesis means they are near/beside graffiti
- ""next to"" and ""by"" are synonymous spatial relations

The main semantic connection needed is that ""next to"" entails ""by"" (both express spatial proximity).

answer: entailment
relations: { entails(next to, by) }","isa_wn(walking down the street, by); isa_wn(graffiti, graffiti); isa_wn(next to, by)",,"answer: entailment
relations: { entails(walk down, be by) }","isa_wn(walk down, be by)",,"**Answer**: entailment  

**Relations**:  
{ entails(two women, woman) }","isa_wn(two women, woman)",,"answer: entailment
relations: { entails(walking down the street, by), entails(next to, by), entails(graffiti, grafitti) }","isa_wn(walking down the street, by); isa_wn(next to, by); isa_wn(graffiti, grafitti)",,"answer: entailment
relations: { entails(walk down, by), entails(street, location) }","isa_wn(walk down, by); isa_wn(street, location)",,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
4909669888.jpg#2r1e,snli,dev,A Black woman on the street is talking on her cellphone.,A black woman is on her phone.,entailment,2,TRUE,,"(cellphone, phone)","(cellphone, phone)",,"(cellphone, phone)",FALSE,,FALSE,,TRUE,,"answer: entailment
relations: { entails(cellphone, phone) }","isa_wn(cellphone, phone)",,"answer: entailment
relations: { entails(cellphone, phone) }","isa_wn(cellphone, phone)",,"answer: entailment
relations: { entails(cellphone, phone) }","isa_wn(cellphone, phone)",,"answer: entailment
relations: { entails(cellphone, phone) }","isa_wn(cellphone, phone)",,"answer: entailment
relations: { entails(cellphone, phone) }","isa_wn(cellphone, phone)",,"answer: entailment
relations: { entails(cellphone, phone) }","isa_wn(cellphone, phone)",,"answer: entailment
relations: { entails(cellphone, phone) }","isa_wn(cellphone, phone)",,"answer: entailment
relations: { entails(cellphone, phone) }","isa_wn(cellphone, phone)",
